group_id,cluster_id,muscle,W_value
global_step,4,EHL,0.1637005359
global_step,4,MG,0.0691758245
global_step,4,SOL,0.1105316654
global_step,4,PL,0.1394989640
global_step,4,RF,0.1047944650
global_step,4,VL,0.1524491608
global_step,4,ST,0.0972174183
global_step,4,RA,0.2000652254
global_step,4,EO,0.1539430469
global_step,4,IO,0.2286528796
global_step,4,SCM,0.7956905365
global_step,4,GM,0.1899038255
global_step,4,ESC,0.2965598106
global_step,4,EST,0.0669785365
global_step,4,ESL,0.0614783019
global_step,5,TA,0.2929541171
global_step,5,EHL,0.3441432118
global_step,5,MG,0.0422487371
global_step,5,SOL,0.1817021221
global_step,5,PL,0.2803840041
global_step,5,RF,0.5281780958
global_step,5,VL,0.4955979884
global_step,5,ST,0.0655845553
global_step,5,RA,0.1642024517
global_step,5,EO,0.1267051995
global_step,5,IO,0.2067220360
global_step,5,SCM,0.1567412019
global_step,5,GM,0.1193158701
global_step,5,ESC,0.1431064904
global_step,5,EST,0.0547219664
global_step,5,ESL,0.0735394657
global_step,6,TA,0.1096142232
global_step,6,EHL,0.1447903663
global_step,6,MG,0.0719512776
global_step,6,SOL,0.1077757254
global_step,6,PL,0.1194084659
global_step,6,RF,0.0807677284
global_step,6,VL,0.0620452873
global_step,6,ST,0.0984157026
global_step,6,RA,0.3688771725
global_step,6,EO,0.6773571372
global_step,6,IO,0.5240773559
global_step,6,SCM,0.1425736099
global_step,6,GM,0.0944009498
global_step,6,ESC,0.1084366813
global_step,6,EST,0.0496686399
global_step,6,ESL,0.0539103001
global_nonstep,0,TA,0.6325066090
global_nonstep,0,EHL,0.5004838705
global_nonstep,0,MG,0.0668290854
global_nonstep,0,SOL,0.2830147445
global_nonstep,0,PL,0.4057929814
global_nonstep,0,RF,0.0928303003
global_nonstep,0,VL,0.1682815552
global_nonstep,0,ST,0.0404472463
global_nonstep,0,RA,0.0739617050
global_nonstep,0,EO,0.1164592579
global_nonstep,0,IO,0.1286080480
global_nonstep,0,SCM,0.0737327412
global_nonstep,0,GM,0.0879822373
global_nonstep,0,ESC,0.0761171132
global_nonstep,0,EST,0.0682866350
global_nonstep,0,ESL,0.0493996777
global_nonstep,1,TA,0.2652962506
global_nonstep,1,EHL,0.1181223318
global_nonstep,1,MG,0.1594666690
global_nonstep,1,SOL,0.1584530473
global_nonstep,1,PL,0.2649961114
global_nonstep,1,RF,0.0639797747
global_nonstep,1,VL,0.1724495888
global_nonstep,1,ST,0.3481535912
global_nonstep,1,RA,0.0583622605
global_nonstep,1,EO,0.1437964588
global_nonstep,1,IO,0.1666162312
global_nonstep,1,SCM,0.1051644236
global_nonstep,1,GM,0.1985459030
global_nonstep,1,ESC,0.2836922407
global_nonstep,1,EST,0.5312159657
global_nonstep,1,ESL,0.4181692898
global_nonstep,2,TA,0.2833278477
global_nonstep,2,EHL,0.3015185297
global_nonstep,2,MG,0.0550909117
global_nonstep,2,SOL,0.1742727160
global_nonstep,2,PL,0.2318647057
global_nonstep,2,RF,0.5030377507
global_nonstep,2,VL,0.5535404682
global_nonstep,2,ST,0.1178557128
global_nonstep,2,RA,0.1171702966
global_nonstep,2,EO,0.1773227304
global_nonstep,2,IO,0.1932346225
global_nonstep,2,SCM,0.1810451448
global_nonstep,2,GM,0.1906116158
global_nonstep,2,ESC,0.0928507149
global_nonstep,2,EST,0.0687237531
global_nonstep,2,ESL,0.0577458479
global_nonstep,3,TA,0.1682289988
global_nonstep,3,EHL,0.2803468406
global_nonstep,3,MG,0.1814638078
global_nonstep,3,SOL,0.4367020130
global_nonstep,3,PL,0.2475520819
global_nonstep,3,RF,0.1244116575
global_nonstep,3,VL,0.1475120336
global_nonstep,3,ST,0.1170427650
global_nonstep,3,RA,0.1883132905
global_nonstep,3,EO,0.2701583803
global_nonstep,3,IO,0.2678042352
global_nonstep,3,SCM,0.4212464094
global_nonstep,3,GM,0.1784984916
global_nonstep,3,ESC,0.3883709311
global_nonstep,3,EST,0.0934109017
global_nonstep,3,ESL,0.0906280801
global_nonstep,4,TA,0.1401587576
global_nonstep,4,EHL,0.1699011475
global_nonstep,4,MG,0.0603159741
global_nonstep,4,SOL,0.1379370093
global_nonstep,4,PL,0.1306383759
global_nonstep,4,RF,0.0915691033
global_nonstep,4,VL,0.1246705800
global_nonstep,4,ST,0.0940727443
global_nonstep,4,RA,0.3765873015
global_nonstep,4,EO,0.5504246354
global_nonstep,4,IO,0.5769879222
global_nonstep,4,SCM,0.1872141957
global_nonstep,4,GM,0.2036837488
global_nonstep,4,ESC,0.0960953087
global_nonstep,4,EST,0.0620615855
global_nonstep,4,ESL,0.1079736650
